,CryoSleep,Age,VIP,RoomService,FoodCourt,ShoppingMall,Spa,VRDeck,encoded_HomePlanet,encoded_Destination,encoded_Transported
0,0,39.0,0,0.0,0.0,0.0,0.0,0.0,1,2,0
1,0,24.0,0,0.7608012842884065,0.03018817294468856,0.10641920653839604,2.450017850767583,0.18232296026188208,0,2,1
2,0,58.0,1,0.30013261673762825,11.994767383356255,0.0,29.96697607997144,0.20304147847345957,1,2,0
3,0,33.0,0,0.0,4.303491765337268,1.5792610250297976,14.856301320956803,0.7997348029668918,1,2,0
4,0,16.0,0,2.1148879737558457,0.23479690068091102,0.6427720074919122,2.5214209210996072,0.008287407284631003,0,2,1
5,0,44.0,0,0.0,1.620098614698286,0.0,1.2986433416636916,0.0,0,1,1
6,0,26.0,0,0.29315278844140435,5.162177573541744,0.012770304784607524,0.0,0.0,0,2,1
7,1,28.0,0,0.0,0.0,0.0,0.0,0.0,0,2,1
8,0,35.0,0,0.0,2.633079529064502,0.07236506044610931,0.9639414494823276,0.0,0,2,1
9,1,14.0,0,0.0,0.0,0.0,0.0,0.0,1,0,1
10,1,34.0,0,0.0,0.0,0.0,0.0,0.0,1,2,1
11,0,45.0,0,0.2722133035527326,24.469191292389226,2.507236506044611,0.4908961085326669,0.5138192516471223,1,0,1
12,0,32.0,0,0.5095274656243457,0.0,4.78035075770475,0.0,0.4682385115816517,2,2,1
13,0,48.0,0,5.018496544984993,0.0033542414382987285,0.27668993699982974,0.0,0.09944888741557205,0,2,0
14,0,28.0,0,0.055838626369791304,3.267031160902962,0.0510812191384301,0.008925383791503035,0.02900592549620851,0,2,1
15,0,31.0,0,0.22335450547916522,0.0,3.7289289971053976,0.0,0.0,0,2,0
16,0,27.0,0,8.976059188943953,0.4092174554724449,3.7289289971053976,0.0,0.0,2,0,0
17,0,24.0,0,0.0,0.0033542414382987285,0.0,0.0,2.6395392201549748,0,0,0
18,1,45.0,0,0.0,0.0,0.0,0.0,0.0,2,2,1
19,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,2,1
20,0,14.0,0,2.875689258044252,0.0,0.004256768261535842,0.0,2.8135747731322254,0,0,0
21,1,1.0,0,0.0,0.0,0.0,0.0,0.0,0,2,0
22,1,49.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0
23,1,29.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0
24,0,10.0,0,0.0,0.0,0.0,0.0,0.0,0,2,1
25,1,1.0,0,0.0,0.0,0.0,0.0,0.0,0,1,0
26,0,7.0,0,0.0,0.0,0.0,0.0,0.0,0,2,0
27,0,21.0,0,6.840231730299434,0.006708482876597457,0.2937170100459731,0.0,0.0,2,2,0
28,1,62.0,0,0.0,0.0,0.2937170100459731,0.0,0.0,1,2,1
29,0,15.0,0,0.0,0.754704323617214,0.0,4.453766511960014,0.0,0,2,0
30,0,34.0,0,0.1535562225169261,20.37030825478818,0.0,6.417350946090681,1.3591347946794845,1,0,0
31,0,43.0,0,7.852306833251902,0.0,0.5789204835688745,0.21420921099607285,0.0,2,2,0
32,0,32.0,0,0.0,2.8511052225539193,0.3447982291844032,1.950196358443413,1.877097749968922,0,2,0
33,0,47.0,0,1.4936832553919173,0.0,6.0063000170270735,0.0,5.092611776405751,2,2,1
34,0,2.0,0,0.0,0.0,0.0,0.0,0.0,2,2,1
35,0,20.0,0,0.0,0.0,7.449344457687723,4.418064976794002,0.0,2,2,1
36,1,28.0,0,0.0,0.0,0.0,0.0,0.0,1,0,1
37,0,23.0,0,5.472185384239547,3.2334887465199746,0.0,4.244019992859693,0.0,2,0,0
38,0,15.0,0,0.0,1.6502867876429745,0.2043248765537204,0.08925383791503035,1.661625160568516,0,0,0
39,0,20.0,0,3.8668248761080477,0.6540770804682521,0.0,11.629775080328454,0.0,0,0,0
40,1,30.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0
41,1,17.0,0,0.0,0.0,0.0,0.0,0.0,0,2,1
42,0,45.0,0,0.0,0.5500955958809916,0.1915545717691129,11.20581935023206,3.542866614179754,1,2,0
43,1,55.0,0,0.0,0.0,0.0,0.0,0.0,0,2,0
44,1,4.0,0,0.0,0.0,0.0,0.0,0.0,0,0,1
45,1,21.0,0,0.0,0.0,0.0,0.0,0.0,0,1,1
46,0,21.0,0,6.770433447337195,0.0,0.7662182870764516,0.0,0.2651970331081921,2,2,0
47,1,19.0,0,0.0,0.0,0.0,0.0,0.0,2,1,1
48,0,35.0,0,5.514064354016892,0.0,0.0,0.0,0.0,0,0,0
49,0,56.0,0,0.0,0.37567504108945765,0.0,6.154052124241343,0.5262503625740687,0,2,0
50,0,25.0,0,0.027919313184895652,0.0,0.008513536523071684,20.898786147804355,0.0,0,2,0
51,0,25.0,0,0.0,0.0,8.249616890856462,0.0,0.0041437036423155015,0,2,1
52,0,2.0,0,0.0,0.0,0.0,0.0,0.0,1,2,1
53,1,38.0,0,0.0,0.0,0.0,0.0,0.0,1,2,1
54,0,27.0,0,1.9473720946464717,2.0293160701707307,14.36233611442193,1.276329882184934,0.012431110926946506,1,2,1
55,1,36.0,0,0.0,0.0,0.0,0.0,0.0,0,1,0
56,0,22.0,0,0.31409227333007605,3.676248616375407,0.6300017027073046,6.145126740449839,0.0041437036423155015,0,2,0
57,0,62.0,0,0.0,1.9857109314728474,0.0,0.07586576222777579,0.10359259105788754,0,2,0
58,1,15.0,0,0.0,0.0,0.0,0.0,0.0,2,2,1
